feature,importance
ip_risk_score,0.06644867663165767
hour_of_day,0.0466616188336336
device_trust_score,0.02938621190972738
merchant_risk_score,0.026471946661833536
failed_transactions_last_24h,0.013330667185963001
international_transaction,0.012740573802230754
transaction_amount,0.011026259964316635
transactions_last_24h,0.00854498322578068
merchant_category_luxury_goods,0.005109438310016166
distance_from_home,0.004763233202010278
previous_fraud_history,0.004219791084680296
card_present,0.0036365631431344585
merchant_category_entertainment,0.0023230198617954835
merchant_category_travel,0.0020392448493506926
transaction_type_purchase,0.0018828618736044683
merchant_category_health,0.001717234447457266
payment_method_credit_card,0.0016947836686659534
merchant_category_dining,0.0016217515342171317
customer_gender_Other,0.0015266049341346336
merchant_category_utilities,0.0013580336210070932
merchant_category_cash_advance,0.0010039642871752718
merchant_category_gambling,0.0006440139449558024
merchant_category_electronics,0.0005890327330760871
payment_method_google_pay,0.000547122276715694
merchant_category_online_shopping,0.0005306242378973074
transaction_type_transfer,0.0005234879313797205
browser_Opera,0.0005098889101280418
payment_method_prepaid_card,0.000509182813209556
payment_method_bank_transfer,0.0004948371287953435
device_type_mobile,0.0004893382602988718
customer_gender_M,0.0004549010907738616
merchant_country_MX,0.00044021499389822546
device_type_tablet,0.000439142894823861
browser_Chrome,0.0003793532920234207
merchant_country_BR,0.00036237216681315077
customer_gender_F,0.00033779880908056794
payment_method_debit_card,0.00033280247916478504
merchant_category_gas_station,0.00033259480214439926
merchant_country_CN,0.0003111243526452652
customer_country_BR,0.00021963522517281237
device_type_wearable,0.00021124342683397746
merchant_category_groceries,0.00020817824061358372
merchant_country_AE,0.00020340926050982185
average_transaction_amount,0.00017766363417975675
customer_country_MX,0.00016113023207462948
transaction_type_withdrawal,0.00015746416140410838
merchant_country_RU,0.00014868963669076752
customer_country_CN,0.00013451675024681915
operating_system_Windows,0.00012201967341447579
customer_country_RU,0.00012177689174999227
payment_method_apple_pay,0.00011466432043925148
operating_system_Android,0.00011192289332338243
merchant_country_JP,0.0001060423747185635
browser_Edge,0.00010196458604184555
day_of_week,9.720022468133101e-05
customer_country_AU,9.518210909882932e-05
browser_Firefox,8.708152889529055e-05
customer_country_DE,8.700743176330629e-05
operating_system_iOS,8.586957788552378e-05
account_age_days,8.2122726571269e-05
customer_country_US,8.146702189760334e-05
customer_age,7.403308268259858e-05
device_type_desktop,7.146692190450759e-05
merchant_country_AU,6.73102336152091e-05
operating_system_macOS,6.286906030711924e-05
customer_country_AE,5.87565339521933e-05
merchant_country_DE,5.80141213652245e-05
merchant_country_ZA,5.4340400126580806e-05
merchant_country_US,5.050131202947441e-05
merchant_country_IN,4.66283282309579e-05
customer_country_SG,4.438553203605598e-05
merchant_country_SG,4.0834983238200543e-05
customer_country_GB,4.0184443329462354e-05
browser_Safari,3.834086217709671e-05
customer_country_IN,3.460063073787928e-05
is_weekend,3.442777849199425e-05
operating_system_Linux,3.0361377886907356e-05
merchant_country_GB,2.8771012660231437e-05
customer_country_ZA,2.3013067411045334e-05
merchant_country_CA,2.0132132907767504e-05
customer_country_FR,1.8854415183659658e-05
merchant_country_FR,1.5040498134968748e-05
customer_country_JP,1.271684442114585e-05
customer_country_CA,1.084554419934021e-05
